Collection #,RMS (pix),X err (pix),Y err (pix),Trans (mm),Rot (deg)
000,0.1724,0.1129,0.0678,0.3798,0.0348
001,0.1975,0.1279,0.0423,0.3217,0.0330
002,0.1972,0.1135,0.0660,0.1009,0.0172
003,0.0721,0.0544,0.0236,0.0492,0.0324
Averages,0.1598,0.1022,0.0499,0.2129,0.0293
